latency,type,valid,rotation,distance,block
346.8039055328554,body,1,11,1,0
348.80292312840174,object,1,62,13,0
350.4242945044243,object,1,24,8,0
352.19019347117865,body,1,77,4,0
354.0448774773686,object,1,164,8,0
355.97737639387196,object,1,93,13,0
357.7654797205323,face,1,7,3,0
359.49784899599035,face,1,8,3,0
361.3526242027583,body,0,22,5,0
362.96297669867636,body,1,20,7,0
364.6287962948554,body,1,175,7,0
366.5833864704182,face,1,58,5,0
368.3050865189143,object,1,73,11,0
370.17089435506205,object,1,60,9,0
372.12529542941775,body,1,128,4,0
374.1354060549056,object,1,37,2,0
376.1569169124705,body,1,180,4,0
378.10024345689453,body,0,62,2,0
379.81061227375176,face,1,15,1,0
381.3431884103775,body,1,175,7,0
383.1646091270668,face,1,48,5,0
385.17481845320435,body,1,62,6,0
386.7739316180523,body,1,84,2,0
388.3620869049482,face,0,12,2,0
406.6203373883618,body,1,0,4,0
408.18610851385165,face,1,54,3,0
410.04093272110913,face,1,48,5,0
411.57334020572307,body,1,18,11,0
413.29480875245645,face,1,72,3,0
415.071780749,object,1,83,82,0
417.02660212632327,body,1,180,4,0
418.9921680310654,body,0,15,2,0
420.85805836794316,body,0,9,4,0
422.65725662445766,face,1,31,6,0
424.6452214903693,object,0,115,6,0
426.26659866643604,body,0,62,2,0
428.17682792263804,object,0,50,15,0
429.9759188784519,object,1,89,6,0
431.60847498501244,object,1,59,5,0
433.41879657159734,body,1,165,6,0
435.0956945468788,face,1,1,3,0
436.86160671373364,object,1,24,9,0
438.84954657944036,face,1,43,5,0
440.7153987160418,object,1,115,6,0
442.6255546716857,face,1,58,5,0
444.4468210872001,object,1,53,6,0
446.3794029043347,face,1,54,4,0
447.94516042982286,body,1,95,1,0
449.77779307725723,face,1,7,1,0
451.8101864631608,body,0,51,9,0
453.65375803926145,body,1,169,7,0
455.2418544256943,object,1,24,16,0
457.1075641612115,face,1,32,5,0
458.94002250731864,object,1,86,14,0
460.7060183240683,face,1,55,5,0
462.71613454961334,body,1,0,4,0
464.33753322585835,face,1,9,4,0
466.31456106288533,body,1,18,11,0
467.9470058687002,body,1,91,1,0
469.7127926347166,face,1,14,2,0
471.3898372617259,object,1,49,7,0
473.35550856703776,body,1,13,14,0
475.0325084935903,face,1,53,1,0
476.63178061049257,body,0,65,2,0
478.4531616268796,object,1,171,9,0
480.1967050326639,object,1,81,11,0
481.8181779093575,face,1,14,2,0
483.4841393064853,object,1,32,50,0
485.0613140134519,face,1,1,3,0
487.0713380382804,object,1,54,72,0
489.0702925334772,object,1,171,9,0
490.7251297003095,body,1,18,11,0
492.4688849077065,face,1,8,1,0
494.14587113427115,body,0,2,5,0
495.98950651084306,face,1,8,3,0
497.53304417630716,body,0,179,9,0
499.44344513370015,body,0,9,2,0
501.0869436690555,object,1,83,73,0
503.0415560447873,face,1,55,5,0
504.9295905412582,face,1,12,4,0
506.48451013863087,object,1,130,9,0
508.5057285940711,face,1,14,2,0
510.17162453998753,object,1,34,7,0
512.0595585356787,object,1,129,2,0
513.6923355436884,face,1,54,1,0
515.269273399681,body,1,9,3,0
516.8464129572094,face,1,14,2,0
518.4010932529927,body,1,113,9,0
520.4002968498389,object,0,16,14,0
522.3771464858728,object,1,14,80,0
524.1762466416403,body,1,12,11,0
525.8975471873273,body,1,20,7,0
527.696721443659,body,1,141,3,0
529.4292704202526,face,1,10,3,0
531.0617991267209,face,1,12,2,0
533.0830216314789,face,1,5,5,0
534.9267740088253,body,1,132,3,0
